turn,studentId,resourceId,rating,comment,timestamp,feedback_generated_by
1,S0139,R0466,5,This quiz was great! I liked that it was interactive and helped me learn about different places.,2025-05-10T15:47:21.000697,llm
1,S0122,R0040,2,"It was okay, but I really learn better when I can listen to things instead of doing stuff with my hands.",2025-05-10T15:47:21.048501,llm
1,S0207,R0090,5,This slideshow was great for me because I learn best by seeing things.,2025-05-10T15:47:21.092334,llm
1,S0115,R0354,3,"It was okay. I usually like listening more, but the topic was interesting enough.",2025-05-10T15:47:21.137212,llm
1,S0078,R0204,5,This was great! I like quizzes and it was about geography which I enjoy.,2025-05-10T15:47:21.181388,llm
1,S0017,R0324,5,This quiz was really good! I like learning about cells and doing stuff helps me understand it more.,2025-05-10T15:47:21.225572,llm
1,S0111,R0123,5,"This was great! I love listening to podcasts and this one was about maps, which is a topic I really like.",2025-05-10T15:47:21.269676,llm
1,S0196,R0132,4,"This quiz was a good way to check what I learned about functions. I like doing things hands-on, so it was helpful.",2025-05-10T15:47:21.314838,llm
1,S0103,R0067,5,"Loved this podcast! Geography is cool, and listening to it made it even better.",2025-05-10T15:47:21.359696,llm
1,S0194,R0212,3,"It was good to learn about Force and Motion, which I like. But I didn't really get to listen to anything.",2025-05-10T15:47:21.404054,llm
1,S0231,R0465,2,"This was okay, but I really learn better by listening.  Looking at timelines isn't my favorite way to study.",2025-05-10T15:47:21.449523,llm
1,S0244,R0348,4,The slideshow was pretty good for learning about equations. I like seeing things explained visually.,2025-05-10T15:47:21.493106,llm
1,S0101,R0326,4,"The topic was interesting, but I prefer listening to things instead of watching videos.",2025-05-10T15:47:21.537125,llm
1,S0043,R0049,3,"The simulation was okay because I like learning about cell division. I usually learn better when I can see things though, so this was a bit different.",2025-05-10T15:47:21.581101,llm
1,S0127,R0241,3,"The topic was cool, but I wish there was an audio version. Reading isn't really my thing.",2025-05-10T15:47:21.625946,llm
1,S0100,R0249,5,This map was super helpful for grammar! I like seeing how things connect.,2025-05-10T15:47:21.670554,llm
1,S0223,R0179,4,"This was about a topic I actually like, which was cool. Reading isn't my favorite way to learn, but it was okay since the topic was interesting.",2025-05-10T15:47:21.714927,llm
1,S0121,R0141,5,This video was really helpful for learning the sounds of Turkish. It's way easier to understand pronunciation when you can see how the words are spoken.,2025-05-10T15:47:21.760220,llm
1,S0216,R0228,3,"The topic was cool, but I learn better by listening.  Doing it hands-on wasn't my favorite.",2025-05-10T15:47:21.804771,llm
1,S0172,R0179,4,"This document was pretty good because I like reading, and it was easy to follow along.  The topic was okay.",2025-05-10T15:47:21.849457,llm
1,S0156,R0050,4,This quiz was a good way to practice what I learned about Turkish. It was interactive which I liked.,2025-05-10T15:47:21.894180,llm
1,S0081,R0336,5,This document was really helpful for understanding equations. I like reading about this stuff.,2025-05-10T15:47:21.940133,llm
1,S0073,R0484,5,This slideshow was great! It helped me understand plot and characters better since I like seeing things explained visually.,2025-05-10T15:47:21.984355,llm
1,S0093,R0234,4,This simulation was pretty cool because it let me actually do stuff with functions. It helped me understand the topic better than just reading.,2025-05-10T15:47:22.028153,llm
1,S0128,R0254,5,This map was really helpful! It showed everything clearly and made the topic easy to understand.,2025-05-10T15:47:22.073052,llm
1,S0091,R0260,5,This was a great way to start learning Turkish! Reading through it really helped me understand the basics.,2025-05-10T15:47:22.117605,llm
1,S0141,R0154,5,This visual timeline was really easy to follow. It helped me understand the history of Turkish culture.,2025-05-10T15:47:22.163776,llm
1,S0225,R0152,5,This timeline was really helpful! Seeing the dates laid out visually made it easy to understand the topic.,2025-05-10T15:47:22.208021,llm
1,S0024,R0140,5,This video was really helpful! Seeing the atoms explained visually made it much easier to understand.,2025-05-10T15:47:22.252341,llm
1,S0222,R0070,4,"This document about cells was pretty good. It wasn't on a topic I dislike, and the reading was okay.",2025-05-10T15:47:22.297316,llm
1,S0125,R0285,5,This simulation was really cool and hands-on. It made learning about the Age of Exploration way more interesting than just reading.,2025-05-10T15:47:22.342110,llm
2,S0053,R0416,5,This video on energy was great! I really liked how they showed everything since I learn better that way.,2025-05-10T15:47:38.421779,llm
2,S0218,R0110,2,Reading an article about cells isn't really my thing. I learn better when I can actually do stuff.,2025-05-10T15:47:38.466686,llm
2,S0035,R0240,4,This video was pretty good since I like learning about functions. I usually learn better by listening though.,2025-05-10T15:47:38.511168,llm
2,S0022,R0110,5,This article was really helpful for understanding cell structure. I liked being able to read through the information at my own pace.,2025-05-10T15:47:38.555407,llm
2,S0186,R0316,5,This quiz was awesome! I like geography and it was good to move around and answer the questions.,2025-05-10T15:47:38.599896,llm
2,S0208,R0244,3,"The topic was cool, but I'd rather learn by listening than doing a quiz.",2025-05-10T15:47:38.643796,llm
2,S0219,R0460,3,"The quiz was okay since I like the topic of classification. I prefer to learn by listening though, so a quiz wasn't my favorite way to review.",2025-05-10T15:47:38.688313,llm
2,S0172,R0328,5,This was perfect for me because I like reading. It covered the topic really well.,2025-05-10T15:47:38.732430,llm
2,S0195,R0204,3,"The quiz was okay, but I prefer learning by reading things instead of doing activities.",2025-05-10T15:47:38.777215,llm
2,S0050,R0291,5,"This article was really interesting because I like learning about the Age of Exploration, and reading is how I learn best.",2025-05-10T15:47:38.821719,llm
2,S0059,R0439,4,This timeline was pretty helpful for understanding the basics of functions.  It was easy to follow along.,2025-05-10T15:47:38.866500,llm
2,S0228,R0135,4,"The topic was okay, and the slideshow helped me see things, but I learn best by doing stuff.",2025-05-10T15:47:38.911398,llm
2,S0229,R0299,5,"This was really helpful! I like seeing the timeline of how atoms were discovered, and I like learning about atoms.",2025-05-10T15:47:38.955240,llm
2,S0240,R0299,3,"It was okay. I usually like reading more than looking at pictures, but the topic wasn't one of the ones I really dislike.",2025-05-10T15:47:38.999866,llm
2,S0159,R0036,5,This simulation was awesome! It really helped me understand how heat works by letting me mess around with it myself.  I love learning about this stuff.,2025-05-10T15:47:39.043861,llm
2,S0243,R0220,2,I prefer listening to things rather than reading. It was hard to stay focused on all the text.,2025-05-10T15:47:39.134576,llm
2,S0029,R0007,5,This article was really good! I like learning about biology and reading is how I learn best.,2025-05-10T15:47:39.179563,llm
2,S0058,R0038,5,This quiz was a good way to practice what I learned about chemistry. I like doing things instead of just reading or listening.,2025-05-10T15:47:39.223914,llm
2,S0007,R0325,3,"The topic was really cool, but I usually learn better by reading or writing things down instead of doing stuff.",2025-05-10T15:47:39.268788,llm
2,S0097,R0020,3,"The topic was cool, but I usually learn better when I can read about stuff instead of just watching a video.",2025-05-10T15:47:39.312569,llm
2,S0112,R0414,4,This quiz was pretty good. I liked doing something hands-on to test what I learned about genetics.,2025-05-10T15:47:39.357329,llm
2,S0120,R0168,5,This was great! I like learning about equations and the audio format worked well for me.,2025-05-10T15:47:39.403578,llm
2,S0008,R0284,5,"This article was right up my alley! I love reading about Ancient Greece and Rome, and it was easy to follow.",2025-05-10T15:47:39.447609,llm
2,S0041,R0274,4,"This podcast was pretty good! I like learning about reactions, and the audio format was easy to listen to.",2025-05-10T15:47:39.493335,llm
2,S0216,R0010,4,"I really like learning about Turkish, so that part was good. I usually like listening more than reading though.",2025-05-10T15:47:39.537660,llm
2,S0028,R0351,5,This quiz was a cool way to learn about biology. I liked actually doing stuff instead of just reading.,2025-05-10T15:47:39.581972,llm
2,S0165,R0247,5,"This was great! I really like learning about Turkish culture, and seeing it on a timeline helped me understand it better.",2025-05-10T15:47:39.626148,llm
2,S0077,R0210,3,"The topic was okay since I don't mind learning about sets. I wish it was an audio lesson though, I learn better that way.",2025-05-10T15:47:39.671276,llm
3,S0131,R0209,5,"This slideshow was really helpful! It had lots of pictures which is how I learn best, and the topic was interesting to me.",2025-05-10T15:47:55.426219,llm
3,S0072,R0409,3,"The topic was cool, but I didn't really get into the simulation thing. I learn better by listening.",2025-05-10T15:47:55.472612,llm
3,S0074,R0429,5,This article was really helpful! I like learning about atoms and the reading format worked well for me.,2025-05-10T15:47:55.517234,llm
3,S0084,R0284,5,"This article was really interesting! I like learning about Ancient Greece and Rome, and reading is my favorite way to learn.",2025-05-10T15:47:55.561634,llm
3,S0003,R0032,4,This map helped me understand the equations better. It was easy to follow since I like looking at things.,2025-05-10T15:47:55.606032,llm
3,S0099,R0427,5,This video was really helpful for understanding chemical reactions. I liked seeing the examples.,2025-05-10T15:47:55.650321,llm
3,S0051,R0114,5,This quiz was a good way to test what I learned. I liked that it was active and not just reading.,2025-05-10T15:47:55.701726,llm
3,S0164,R0217,5,This map was really helpful for understanding Turkish grammar. It's exactly how I like to learn.,2025-05-10T15:47:55.746147,llm
3,S0116,R0161,5,"This podcast was awesome! I really like learning about people and places, and listening made it super easy to understand.",2025-05-10T15:47:55.836030,llm
3,S0062,R0124,2,"It was okay, but I learn better when I can listen instead of just looking at stuff. The topic wasn't the worst though.",2025-05-10T15:47:55.879846,llm
3,S0078,R0342,5,This quiz was really fun and active. I liked testing what I learned about different places.,2025-05-10T15:47:55.930596,llm
3,S0155,R0391,4,"This podcast was pretty good since it was about Turkish Grammar, which I like.  Listening was okay, but I also like to see things.",2025-05-10T15:47:55.976041,llm
3,S0136,R0345,5,"This slideshow made learning about atomic structure really easy to see and understand. It's one of my favorite topics, and the pictures helped a lot!",2025-05-10T15:47:56.020887,llm
3,S0096,R0163,4,"This was a good way to start physics. I usually like a mix of learning styles, but the reading was still helpful for understanding the basics.",2025-05-10T15:47:56.065310,llm
3,S0015,R0287,5,This was a great way to learn about Turkish pronunciation. Reading about it really helped me understand.,2025-05-10T15:47:56.109657,llm
3,S0097,R0479,3,"The reading format was good, which I like, but the topic wasn't really something I'm super interested in.",2025-05-10T15:47:56.153586,llm
3,S0233,R0261,5,"This slideshow was great! I learn best with pictures and diagrams, and this topic was actually interesting.",2025-05-10T15:47:56.198655,llm
3,S0009,R0428,4,This article was easy to follow since I like to read.  It helped me understand equations better.,2025-05-10T15:47:56.242914,llm
3,S0220,R0403,5,This quiz was great! I really like learning about atoms and doing things hands-on helps me remember everything.,2025-05-10T15:47:56.287914,llm
3,S0077,R0453,5,"This podcast was great! I like learning about functions, and listening to it made it easy to understand.",2025-05-10T15:47:56.333563,llm
3,S0156,R0144,4,This quiz was a good way to practice Turkish words. It was helpful to do something active.,2025-05-10T15:47:56.378405,llm
3,S0134,R0310,5,This article was really good because it was about a topic I like and I learn best by reading. It explained everything clearly.,2025-05-10T15:47:56.423764,llm
3,S0102,R0359,5,This simulation was really helpful for learning Turkish words.  Doing the actions made it stick better.,2025-05-10T15:47:56.467610,llm
3,S0181,R0175,3,This simulation was okay since I like learning about force and motion.  I usually learn better by listening though.,2025-05-10T15:47:56.511892,llm
3,S0047,R0014,4,This was pretty good. I liked actually doing stuff instead of just reading or listening.,2025-05-10T15:47:56.556153,llm
3,S0174,R0462,3,"It was okay. I usually like reading more than listening, but the topic was interesting enough.",2025-05-10T15:47:56.601042,llm
3,S0059,R0022,4,This simulation was pretty cool. It helped me understand force and motion better by actually doing stuff.,2025-05-10T15:47:56.645555,llm
3,S0053,R0481,3,"The topic was cool, but I wish it had more pictures or diagrams to help me understand.",2025-05-10T15:47:56.689931,llm
3,S0200,R0383,3,"The topic was cool, but I learn better by listening. Doing stuff is okay, but not my favorite way to learn.",2025-05-10T15:47:56.735559,llm
